climate_id,month,delta_q_2055,delta_p_2055
6,5,-0.5411832944999999,1.140468227
6,6,-0.5233711050000001,0.056105611
6,7,-0.46775774175,1.253521127
6,8,0.405234657,1.2673007859999998
6,9,-0.21598855725,0.179965175
6,10,-0.75,0.919735209
6,11,-0.14962476524999999,-0.34645376899999997
6,12,-0.09104046225000001,-0.430025445
7,1,-0.2888162955,1.4564380263999999
7,2,-0.09149430149999999,0.511811024
7,3,-0.25276243125,0.151079137
7,4,-0.6146616540000001,-0.144385027
7,5,0.29408352675,1.675585284
7,6,0.7230878190000001,-0.207920792
7,7,-0.13847510775,0.931589537
7,8,0.18862815900000002,0.739299233
7,9,0.165448188,-0.131414524
7,10,-0.69310099575,0.092263136
7,11,-0.14962476524999999,-0.197920535
7,12,-0.1257225435,-0.674300254
8,1,-0.24269792475,1.9955475329999999
8,2,-0.1928028705,1.267716535
8,3,-0.25276243125,-0.136690647
8,4,-0.659774436,-0.35828877
8,5,-0.68039443125,0.070234114
8,6,-0.29674221,-0.075907591
8,7,-0.7029596235,0.7706237420000001
8,8,-0.533393502,1.422595361
8,9,-0.44485060425,-0.016695688
8,10,-0.57930298725,0.555647497
8,11,0.0755159475,0.010025993
8,12,-0.1257225435,0.628498728
9,1,-0.24269792475,1.8607701566999997
9,2,-0.16747572825,1.519685039
9,3,-0.16988950274999998,-0.136690647
9,4,-0.659774436,-0.35828877
9,5,-0.75,0.33779264200000003
9,6,-0.4100566575,0.056105611
9,7,-0.46775774175,0.448692153
9,8,-0.67779783375,1.360477531
9,9,-0.5211379530000001,0.032469528
9,10,-0.6362019915,0.191559785
9,11,0.15056285175,0.099145934
9,12,-0.1257225435,0.302798982
10,1,-0.173520369,1.0521058968
10,2,0.08579569425,0.007874016
10,3,-0.50138121525,-0.7122302159999999
10,4,-0.52443609,0.7112299470000001
10,5,-0.47157772650000007,4.351170569
10,6,-0.18342776175,-0.471947195
10,7,-0.5147981182499999,1.253521127
10,8,-0.67779783375,1.049888382
10,9,-0.21598855725,-0.049472498
10,10,-0.6362019915,0.32395531699999996
10,11,-0.14962476524999999,0.128852581
10,12,-0.2297687865,-0.837150127
11,1,-0.173520369,2.3998796632999997
11,2,-0.21813001275,-0.49606299200000004
11,3,-0.08701657425,0.438848921
11,4,-0.52443609,0.28342246
11,5,-0.68039443125,0.33779264200000003
11,6,-0.75,0.188118812
11,7,-0.46775774175,1.253521127
11,8,-0.6055956675,1.391536446
11,9,-0.67371265125,0.130799959
11,10,-0.522403983,0.35705419899999996
11,11,-0.5999061915,0.336799109
11,12,0.013005779999999998,0.302798982
12,1,-0.21963873974999998,2.2651022863
12,2,-0.24345715499999998,-0.748031496
12,3,-0.21132596700000003,-0.136690647
12,4,-0.659774436,0.28342246
12,5,-0.61078886325,0.070234114
12,6,-0.4100566575,-0.075907591
12,7,-0.18551548424999997,0.7706237420000001
12,8,-0.38898916950000006,1.2983597009999999
12,9,-0.5211379530000001,0.19635358
12,10,-0.6362019915,0.125362019
12,11,-0.5999061915,0.099145934
12,12,-0.05635838175,0.13994910900000002
13,1,-0.173520369,1.8607701566999997
13,2,-0.14214858600000002,2.275590551
13,3,-0.16988950274999998,0.438848921
13,4,-0.6146616540000001,0.28342246
13,5,-0.47157772650000007,0.872909699
13,6,-0.18342776175,-0.075907591
13,7,-0.75,1.092555332
13,8,-0.38898916950000006,1.640007765
13,9,-0.5974253017500001,0.19635358
13,10,-0.69310099575,0.555647497
13,11,0.30065666025000004,0.010025993
13,12,-0.0216763005,0.38422391899999997
14,1,-0.173520369,1.9955475329999999
14,2,-0.09149430149999999,1.7716535430000002
14,3,-0.41850828749999996,-0.136690647
14,4,-0.659774436,0.28342246
14,5,-0.75,1.140468227
14,6,-0.6366855524999999,-0.735973597
14,7,-0.420717366,0.7706237420000001
14,8,-0.46119133575000004,1.422595361
14,9,-0.67371265125,0.130799959
14,10,-0.6362019915,0.919735209
14,11,0.3757035645,0.366505756
14,12,-0.1257225435,0.302798982
15,1,-0.3118754805,2.2651022863
15,2,-0.09149430149999999,2.023622047
15,3,-0.16988950274999998,-0.42446043200000005
15,4,-0.7048872180000001,-0.35828877
15,5,-0.68039443125,1.140468227
15,6,0.26983002825,0.320132013
15,7,-0.46775774175,0.609657948
15,8,-0.10018050525,1.112006212
15,9,-0.36856325474999996,0.376626037
15,10,-0.46550497874999996,0.290856434
15,11,0.225609756,0.51503899
15,12,-0.26445086700000003,0.7913486009999999
16,1,-0.38105303625,0.9173285198
16,2,-0.015512874750000002,-0.244094488
16,3,-0.29419889474999994,-0.136690647
16,4,-0.028195488750000004,-0.7860962570000001
16,5,-0.053944315500000006,1.943143813
16,6,0.6097733707499999,-0.6039603960000001
16,7,-0.13847510775,3.1851106639999998
16,8,0.5496389894999999,1.702125594
16,9,-0.5974253017500001,0.294684011
16,10,-0.46550497874999996,0.952834092
16,11,-0.22467166950000003,0.8715187520000001
16,12,-0.5072254334999999,0.13994910900000002
17,1,-0.496348962,2.13032491
17,2,-0.4967285775,-0.49606299200000004
17,3,-0.58425414375,1.0143884890000001
17,4,-0.29887218075,-0.572192513
17,5,0.01566125325,-0.197324415
17,6,0.15651558075,-0.735973597
17,7,-0.27959623650000004,2.219315895
17,8,0.405234657,1.795302339
17,9,-0.36856325474999996,0.19635358
17,10,-0.69310099575,0.853537443
17,11,-0.67495309575,0.8121054590000001
17,12,-0.7153179187500001,-0.10432570000000001
18,1,-0.24269792475,3.0737665462
18,2,-0.14214858600000002,1.267716535
18,3,-0.1284530385,-0.42446043200000005
18,4,-0.52443609,-0.144385027
18,5,-0.68039443125,0.872909699
18,6,0.38314447575,0.188118812
18,7,-0.5147981182499999,1.253521127
18,8,-0.533393502,1.2983597009999999
18,9,-0.5211379530000001,0.212741985
18,10,-0.23790896174999998,0.621845263
18,11,0.225609756,-0.138507241
18,12,-0.1257225435,0.058524173
19,1,-0.196579554,3.4780986764999997
19,2,-0.21813001275,1.267716535
19,3,-0.04558011075,-0.7122302159999999
19,4,-0.34398496275,0.28342246
19,5,-0.47157772650000007,0.33779264200000003
19,6,0.26983002825,0.188118812
19,7,-0.75,1.7364185109999999
19,8,-0.46119133575000004,1.049888382
19,9,-0.44485060425,-0.24613336100000002
19,10,-0.06721194899999999,0.191559785
19,11,0.30065666025000004,0.277385815
19,12,-0.160404624,0.465648855
